   	SALES_NO	SALES_SEQ	DIVISION_CODE	COMPANY_CODE	PRODUCT_CODE	PRODUCT_NAME	PRODUCT_UNIT	PRODUCT_ASSETS_TYPE	HS_CODE	PROD_DIVISION_CODE	QUANTITY	UNIT_PRICE	COUNT_UNIT	AMOUNT	AMOUNT_FOREIGN	CURRENCY	EXCHANGE_RATE	EXCHANGE_DATE	STANDARD	NET_WEIGHT	GROSS_WEIGHT	WEIGHT_UNIT	PREFERENCE_CRITERION	EXPORT_DECLARE_NO	EXPORT_DECLARE_DATE	COO_TYPE	COO_CERTIFY_NO	ORDER_NO	ORDER_SEQ	SALES_ORDER_NO	SALES_ORDER_SEQ	SP_COO_YN	SP_FILE_PATH	SP_FILE_NAME	SP_ORIGIN_FILE_NAME	FILE_NUMBER	BOM_STATUS	STATUS	BOM_YYYYMM	BOM_DIVISION_CODE	INTG_INTERFACE_TRANS_ID	CUSTOMER_ITEM_CODE	DELIVERY_CUSTOMER_CODE	DECISION_YN	INVOICE_HEADER_ID	INVOICE_LINE_ID	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY	EXPORT_ACCEPT_DATE	EXPORT_DECLARE_SEQ	INVOICE_FOB_AMOUNT
59	95194198	15	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	12.0000000000	363210.0000000000	UN	4358520.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
60	95194198	14	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	5.0000000000	363210.0000000000	UN	1816050.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
61	95194198	13	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	9.0000000000	363210.0000000000	UN	3268890.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
62	95194198	12	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	8.0000000000	363210.0000000000	UN	2905680.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
63	95194198	11	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	23.0000000000	363210.0000000000	UN	8353830.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
64	95194198	10	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	11.0000000000	363210.0000000000	UN	3995310.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
65	95194026	11	PLS101	PLS100	4120816AA	SYM SCR Y460 Q260 25L, 탱크 아쎄이	UN	P	870899	PLS101	716.0000000000	374162.0000000000	UN	267899992.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
66	95194026	10	PLS101	PLS100	4120812AC	SYMC SCR Y450 25L_39100 36102	UN	P	870899	PLS101	46.0000000000	360895.0000000000	UN	16601170.0000000000																							0	1			94204		1000928									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
67	95191638	15	PLS101	PLS100	4140714AB	FWD KR_KLEVIII GM 9BQX, 60010478B,HRB(B)	UN	P	870899	PLS101	17.0000000000	237580.0000000000	UN	4038860.0000000000																							0	1			94204		1000420									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
68	95191638	14	PLS101	PLS100	4140708AJ	FWD E85 GM 9BQX KYO, 60010479, HRC	UN	P	870899	PLS101	358.0000000000	261750.0000000000	UN	93706500.0000000000																							0	1			94204		1000420									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
69	95191638	13	PLS101	PLS100	4140714AB	FWD KR_KLEVIII GM 9BQX, 60010478B,HRB(B)	UN	P	870899	PLS101	35.0000000000	237580.0000000000	UN	8315300.0000000000																							0	1			94204		1000420									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
70	95191638	12	PLS101	PLS100	4140708AJ	FWD E85 GM 9BQX KYO, 60010479, HRC	UN	P	870899	PLS101	787.0000000000	261750.0000000000	UN	205997250.0000000000																							0	1			94204		1000420									2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC	2026-02-12  9:57:20	PKG01_IF_LOAD.SALES_PROC			
