   	YYYYMM	PRODUCT_CODE	ITEM_CODE	PARENT_ITEM_CODE	DIVISION_CODE	COMPANY_CODE	TXN_TYPE	FROM_DIVISION_CODE	HS_CODE	REQ_QTY	INPUT_QTY	TOTAL_INPUT_QTY	INPUT_DATE	COST_EST_ROOT	ETC_CODE	ORG_FROM_DIVISION_CODE	ISLEAF_YN	PARENT_SUBCONTRACTING_TYPE	SUBCONTRACTING_TYPE	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
64	202603	4120816AA	7130020AA	4120816AA	PLS101	PLS100	F	PLS101	390190	279.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
65	202603	4120816AA	7320091AA	4120816AA	PLS101	PLS100	F	PLS101	392690	6.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
66	202603	4120816AA	7321445AA	4120816AA	PLS101	PLS100	F	PLS101	870899	3.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
67	202603	4120816AA	7710354AA	4120816AA	PLS101	PLS100	F	PLS101	401693	1.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
68	202603	4120816AA	7730135AA	4120816AA	PLS101	PLS100	F	PLS101	401693	3.0000000000			20260301		N		Y								2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC	2026-04-13  14:18:17	PKG01_IF_LOAD.FTA_BOM_PROC
69	202604	4120816AA	7000208AA	4120816AA	PLS101	PLS100	F	PLS101	391733	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
70	202604	4120816AA	7130020AA	4120816AA	PLS101	PLS100	F	PLS101	390190	279.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
71	202604	4120816AA	7310768AA	4120816AA	PLS101	PLS100	F	PLS101	391740	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
72	202604	4120816AA	7320091AA	4120816AA	PLS101	PLS100	F	PLS101	392690	6.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
73	202604	4120816AA	7321445AA	4120816AA	PLS101	PLS100	F	PLS101	870899	3.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
74	202604	4120816AA	7340123AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
